numbers,power_ball
"28, 45, 53, 56, 69",10
"2, 11, 22, 35, 60",20
"13, 19, 36, 39, 59",23
"19, 31, 40, 46, 57",13
"19, 36, 37, 46, 56",23
"18, 23, 35, 45, 54",24
"19, 25, 48, 55, 60",16
"6, 8, 15, 27, 42",18
"19, 30, 36, 46, 60",10
"32, 37, 40, 58, 62",25
"14, 30, 41, 42, 59",15
"3, 6, 11, 17, 22",6
"13, 43, 53, 60, 68",11
"26, 30, 33, 37, 62",5
"2, 16, 22, 55, 63",6
"8, 21, 22, 65, 69",22
"6, 10, 24, 33, 67",26
"13, 20, 31, 33, 59",11
"3, 9, 21, 24, 29",20
"6, 33, 34, 45, 54",14
"7, 15, 36, 46, 67",7
"5, 25, 36, 51, 61",7
"9, 10, 20, 22, 52",1
"6, 14, 16, 34, 66",25
"38, 42, 56, 68, 69",25
"3, 16, 30, 33, 36",4
"4, 7, 32, 55, 64",20
"18, 27, 49, 65, 69",25
"7, 8, 19, 24, 28",9
"13, 36, 43, 61, 69",1
"2, 18, 56, 60, 65",18
"6, 24, 35, 37, 44",14
"12, 27, 34, 55, 67",22
"5, 9, 11, 16, 66",9
"23, 28, 41, 50, 55",7
"20, 24, 47, 50, 63",24
"19, 24, 35, 43, 62",5
"29, 44, 59, 61, 68",2
"32, 45, 51, 57, 58",19
"8, 15, 46, 56, 68",12
"9, 21, 56, 57, 66",3
"15, 21, 31, 36, 65",11
"4, 17, 57, 58, 68",16
"1, 25, 44, 55, 57",12
"25, 37, 38, 39, 65",26
"39, 41, 54, 59, 62",5
"10, 20, 23, 49, 65",12
"14, 34, 36, 50, 58",22
"3, 18, 23, 32, 57",5
"22, 23, 36, 47, 63",21
"4, 26, 34, 37, 52",2
"14, 22, 42, 46, 52",9
"32, 36, 49, 62, 69",24
"15, 16, 24, 31, 56",13
"9, 10, 37, 59, 62",4
"8, 40, 49, 58, 63",26
"11, 13, 18, 30, 37",14
"6, 12, 20, 27, 32",16
"6, 10, 31, 48, 56",4
"3, 44, 61, 63, 69",12
"10, 19, 40, 45, 58",13
"19, 28, 41, 42, 51",25
"2, 27, 42, 44, 51",7
"18, 20, 26, 53, 69",25
"22, 39, 43, 62, 64",5
"2, 10, 35, 44, 46",7
"14, 16, 36, 52, 60",4
"11, 41, 56, 57, 63",16
"27, 28, 51, 68, 69",2
"2, 39, 50, 61, 66",22
"19, 28, 39, 42, 57",15
"1, 33, 37, 39, 42",17
"14, 15, 25, 52, 58",26
"40, 41, 58, 64, 65",11
"7, 15, 22, 36, 64",17
"6, 40, 41, 45, 52",13
"5, 7, 61, 63, 69",9
"18, 30, 35, 52, 56",18
"4, 5, 6, 28, 67",5
"37, 39, 55, 63, 69",10
"18, 27, 33, 39, 44",23
"14, 21, 37, 44, 63",8
"11, 36, 61, 62, 68",1
"12, 18, 20, 39, 61",4
"10, 39, 47, 49, 56",10
"20, 30, 45, 55, 56",8
"8, 33, 55, 59, 62",14
"15, 21, 32, 62, 65",18
"14, 16, 41, 63, 68",26
"5, 7, 24, 31, 34",26
"6, 16, 31, 62, 66",4
"6, 42, 45, 47, 64",18
"2, 32, 39, 46, 69",18
"6, 28, 47, 58, 59",6
"3, 7, 21, 31, 37",18
"11, 18, 39, 58, 62",11
"2, 10, 50, 59, 61",3
"31, 32, 37, 38, 48",6
"1, 15, 26, 63, 65",24
"8, 9, 18, 48, 52",16
"3, 28, 34, 35, 58",6
"21, 28, 32, 44, 49",17
"19, 20, 37, 39, 61",6
"13, 22, 34, 51, 67",8
"10, 43, 55, 59, 67",10
"8, 23, 37, 52, 63",2
"19, 37, 48, 61, 63",13
"7, 21, 39, 47, 55",12
"15, 32, 36, 48, 64",19
"6, 17, 21, 35, 64",19
"2, 36, 37, 45, 69",18
"3, 10, 15, 33, 42",3
"22, 30, 40, 42, 48",11
"16, 25, 27, 49, 55",16
"8, 10, 21, 41, 62",17
"2, 17, 33, 51, 63",7
"5, 15, 38, 47, 65",26
"5, 16, 27, 39, 61",10
"18, 29, 33, 62, 63",24
"10, 15, 51, 61, 69",15
"2, 15, 38, 54, 65",14
"4, 11, 38, 49, 69",11
"11, 29, 30, 47, 53",16
"8, 14, 33, 36, 67",16
"11, 15, 43, 55, 61",17
"9, 24, 35, 46, 65",10
"3, 18, 37, 51, 59",22
"12, 21, 22, 30, 33",13
"14, 17, 18, 21, 27",24
"20, 21, 36, 60, 65",9
"6, 14, 25, 33, 46",13
"2, 13, 32, 33, 48",17
"6, 12, 39, 48, 50",22
"2, 6, 9, 33, 39",7
"36, 38, 45, 62, 64",11
"27, 29, 45, 55, 58",19
"7, 16, 19, 48, 68",2
"2, 13, 23, 34, 66",15
"2, 6, 24, 51, 61",2
"19, 20, 40, 42, 59",1
"10, 30, 37, 53, 59",15
"3, 25, 44, 53, 64",4
"3, 7, 33, 50, 69",10
"3, 21, 38, 50, 59",24
"10, 40, 45, 56, 67",6
"12, 15, 38, 57, 63",2
"18, 26, 28, 38, 47",24
"8, 32, 55, 64, 66",17
"10, 16, 32, 63, 65",10
"7, 20, 29, 38, 67",17
"40, 43, 48, 59, 69",22
"3, 16, 48, 52, 60",19
"5, 31, 34, 51, 53",1
"8, 15, 26, 35, 45",23
"19, 25, 43, 46, 48",9
"21, 46, 47, 57, 62",14
